stock_id,year,營業毛利率,營業利益率,ROA(A)稅後息前,ROE(A)－稅後,流動比率,負債比率,總資產週轉次數,應收帳款週轉次數,季底每股稅後淨利,每股淨值(C),當季季底P/E,當季季底P/B,當季季底PSR
1101,201703,14.16,9.17,0.6,0.79,137.38,43.15,0.08,1.07,0.2,29.19,9.7,1.24,1.44
1102,201703,7.19,3.41,0.24,0.1,89.29,42.95,0.05,0.91,0.07,36.06,17.38,0.85,1.72
1103,201703,22.15,4.06,-0.32,-0.66,540.81,35.03,0.02,1.92,-0.17,23.29,191.28,0.57,2.68
1104,201703,12.63,4.33,1.39,1.7,144.18,19.31,0.05,1.11,0.43,25.64,9.84,1.04,3.67
1108,201703,9.03,3.15,0.33,0.39,237.08,36.77,0.12,1.22,0.05,11.8,13.9,0.84,0.97
1109,201703,14.4,5.6,0.6,0.71,242.67,24.16,0.11,1.63,0.09,14.19,13.16,0.73,0.88
1110,201703,-2.87,-8.83,0.25,0.27,736.23,6.22,0.04,1.22,0.04,15.1,.,1.09,6.46
1201,201703,26.14,-3.51,0.84,2.64,104.1,79.08,0.11,1.48,0.09,8.94,.,2.04,0.54
1203,201703,30.99,16.68,1.93,3.08,228.73,38.01,0.18,3.18,0.37,18.54,6.51,1.3,0.91
1210,201703,13.42,4.28,1.84,3.11,127.07,46.31,0.5,3.22,0.74,22.06,6.8,1.41,0.28
1213,201703,13.1,4.26,0.63,0.76,382.02,15.87,0.19,1.1,0.09,12.35,46.27,1.45,1.49
1215,201703,17.97,10.42,3.76,6.23,136.45,39.92,0.42,2.5,1.53,24.82,8.21,2.18,0.78
1216,201703,33.36,5.83,1.96,4.42,95.08,56.31,0.26,5.96,0.79,16.84,11.84,3.38,0.8
1217,201703,29.83,-0.93,-0.01,-0.38,70.21,48.22,0.08,1.46,-0.05,10.64,.,0.71,0.9
1218,201703,15.38,-0.91,0.16,0.04,131.02,52.01,0.24,1.73,0,10.24,36.95,1.51,0.65
1219,201703,8.06,-0.12,0.16,0.07,186.74,52.21,0.35,2.42,0.11,12.19,81.16,1.36,0.47
1220,201703,13.05,3.54,0.23,0.24,620.26,17.29,0.17,0.99,0.05,12.76,14.42,0.87,0.73
1225,201703,9.71,4.61,1.61,2.69,235.74,41.76,0.4,1.8,0.37,15,18.03,3.33,0.99
1227,201703,28.83,12.09,2.8,4.08,227.54,32.64,0.3,1.35,0.65,16.56,22.9,4.59,2.54
1229,201703,21.95,11.23,1.75,2.04,77.63,14.94,0.04,1.5,0.48,24.86,9.25,1.02,4.59
1231,201703,20.44,5.32,1.18,2.33,168.15,52.94,0.27,1.38,0.45,20.04,10.94,1.73,0.78
1232,201703,9.06,5.44,3.33,4.45,472.67,19.92,0.84,4.63,1.06,24.56,12.99,3.71,0.82
1233,201703,57.83,11.22,2.35,3.18,211.33,24.51,0.28,2.37,0.5,15.71,17.13,2.39,1.6
1234,201703,20.24,-1.99,0.4,0.5,310.64,21.01,0.1,3.36,0.22,44.54,19.21,0.76,1.47
1235,201703,-58.06,-110.38,0.95,1.31,243.17,32.55,0,0.64,0.66,53.21,11.49,0.54,17.5
1236,201703,21.74,-0.52,-0.19,-0.39,176.45,37.02,0.15,1.31,-0.07,16.76,150.83,1.08,1
1256,201703,29.24,12.84,2.7,4.66,172.86,44.77,0.36,4.13,1.4,33.9,10.49,4.37,1.45
1301,201703,16.86,11.48,2.23,3.14,213.67,30.96,0.1,3.49,1.55,49.83,12.02,1.82,3.11
1303,201703,17.93,11.66,2.04,2.99,278.3,33.52,0.14,1.53,1.37,43.32,11.71,1.66,2.02
1304,201703,14.39,8.51,1.23,2.19,235.83,46.92,0.22,2,0.28,17.32,5.19,1.01,0.33
1305,201703,23.11,15.67,3.16,5.26,317.15,39.21,0.28,2.49,0.77,16.17,6.38,1.74,0.96
1307,201703,34.02,18.25,2.29,3.78,266.06,39.89,0.18,1.65,0.84,22.07,10.07,1.71,1.4
1308,201703,15.07,11.43,1.08,1.56,243.39,34.08,0.1,2.06,0.29,19.17,10.92,0.96,1.53
1309,201703,7.4,4.01,1.19,2.68,152.21,60.1,0.53,2.06,0.28,10.42,12.44,0.96,0.19
1310,201703,16.84,13.9,3.71,5.42,202.19,29.04,0.3,3.18,0.83,14.95,7.42,1.66,0.93
1312,201703,17.76,11.75,3.19,3.78,336.93,14.66,0.22,1.93,0.84,20.56,5.62,1.02,0.92
1313,201703,8.17,4.13,0.99,1.67,148.12,51.86,0.29,3.29,0.26,16.09,8.84,0.85,0.35
