stock_id,year,60日均價(元),本季以來報酬率 %,class
1101,201703,24.1262,3.2718,1
1102,201703,23.7786,16.1295,1
1103,201703,8.7599,26.5749,1
1104,201703,20.125,8.3166,1
1108,201703,8.9379,9.1007,1
1109,201703,9.3137,2.9998,1
1110,201703,15.449,2.1874,1
1201,201703,17.0176,3.9999,1
1203,201703,20.1271,4.1303,1
1210,201703,21.4946,-1.0305,0
1213,201703,17.53,6.5474,1
1215,201703,40.6993,20.8479,1
1216,201703,46.2317,6.5541,1
1217,201703,7.51,1.6172,1
1218,201703,13.4151,-0.0003,0
1219,201703,15.0614,4.4023,1
1220,201703,9.1012,2.2938,1
1225,201703,44.8242,4.1666,1
1227,201703,64.081,-1.5668,0
1229,201703,13.4353,15.4197,1
1231,201703,22.8386,11.7361,1
1232,201703,72.3452,8.4424,1
1233,201703,30.8141,1.9047,1
1234,201703,26.7139,4.1798,1
1235,201703,16.9895,-6.599,0
1236,201703,17.037,-1.3588,0
1256,201703,106.784,20.8161,1
1301,201703,73.8996,1.4571,1
1303,201703,58.7638,0.9833,1
1304,201703,13.8458,-0.3154,0
1305,201703,18.5623,17.7456,1
1307,201703,30.508,6.6475,1
1308,201703,14.9614,-3.1495,0
1309,201703,9.9777,-4.3061,0
1310,201703,16.4266,24.3109,1
1312,201703,19.89,0.4761,1
1313,201703,9.8026,5.2001,1
1314,201703,10.1095,17.1719,1
1315,201703,27.4519,3.1433,1
1316,201703,16.06,45.6239,1
1319,201703,49.9396,-17.0082,0
1321,201703,26.3,5.4542,1
1323,201703,27.8392,-1.1835,0
1324,201703,11.7258,0.383,1
1325,201703,19.648,2.1379,1
1326,201703,76.5976,-1.9731,0
1337,201703,16.95,-8.0002,0
1338,201703,78.2338,5.2241,1
1339,201703,33.2243,20.2417,1
1340,201703,40.55,2.206,1
1402,201703,22.1096,8.6776,1
1409,201703,8.1877,8.619,1
1410,201703,23.383,5.7262,1
1413,201703,5.75,7.3344,1
1414,201703,5.6716,6.5684,1
1416,201703,22,17.6815,1
1417,201703,7.2239,8.1874,1
1418,201703,17.34,9.8942,1
1419,201703,35.1345,3.0302,1
1423,201703,7.2492,8.4919,1
1432,201703,29.0808,-6.7489,0
1434,201703,24.4098,9.8305,1
1435,201703,5.57,40.3799,1
1436,201703,25.3324,-2.0305,0
1437,201703,15.3367,12.0844,1
1438,201703,9.501,22.3879,1
1439,201703,18.3451,30.7934,1
1440,201703,12.5199,24.1808,1
1441,201703,7.55,10.8282,1
1442,201703,12.8703,14.4066,1
1443,201703,5.63,32.208,1
1444,201703,7.76,0.8496,1
1445,201703,8.2158,1.8806,1
1446,201703,18.1943,27.3742,1
1447,201703,8.36,-0.3689,0
1449,201703,10.8395,29.756,1
1451,201703,32.41,11.3408,1
1452,201703,16.4093,5.6101,1
1453,201703,7.0784,1.3943,1
1454,201703,7.651,-0.705,0
1455,201703,9.67,10.9917,1
1456,201703,11.99,47.6469,1
1457,201703,8.4584,9.2134,1
1459,201703,8.59,0.4725,1
1460,201703,15.28,-1.4708,0
1463,201703,14.8493,16.2735,1
1464,201703,18.3552,11.6052,1
1465,201703,10.5032,3.1621,1
1466,201703,13.12,-13.5529,0
1467,201703,10.84,7.2815,1
1468,201703,10.28,6.6732,1
1470,201703,17.1058,1.5822,1
1471,201703,6.91,26.9059,1
1472,201703,19.671,-6.7231,0
1473,201703,25.9433,-9.2436,0
1474,201703,9.97,1.7777,1
1475,201703,28.0311,40.2601,1
1476,201703,272.936,-9.9257,0
1477,201703,93.4351,0.4033,1
1503,201703,35.9091,0.9878,1
1504,201703,24.8876,10.5735,1
1506,201703,15.926,58.0764,1
1512,201703,6.82,32.9981,1
1513,201703,17.3637,2.3259,1
1514,201703,7.9507,10.8222,1
1515,201703,14.2366,26.9107,1
1516,201703,16.5778,17.4043,1
1517,201703,9.9142,11.0576,1
1519,201703,15.8793,-5.0281,0
1521,201703,62.9892,-2.0582,0
1522,201703,28.651,-8.0555,0
1524,201703,9.586,18.4683,1
1525,201703,96.3065,-4.9108,0
1526,201703,12.5788,4.7298,1
1527,201703,77.6205,-1.3904,0
1528,201703,9.1999,6.3506,1
1529,201703,29.2429,9.8891,1
1530,201703,26.2947,15.4258,1
1531,201703,14.9553,20.4405,1
1532,201703,25.7118,-2.6647,0
1533,201703,40.9194,0.5896,1
1535,201703,41.363,1.3072,1
1536,201703,116.153,2.8997,1
1537,201703,122.664,0.0003,1
1538,201703,23.8881,8.7781,1
1539,201703,22.0598,-8.07,0
1540,201703,11.3794,19.9998,1
1541,201703,52.67,12.8301,1
1558,201703,119.769,-2.8034,0
1560,201703,58.6341,14.441,1
1568,201703,28.5424,-6.5051,0
1582,201703,59.7178,6.349,1
1583,201703,52.6099,27.0422,1
1587,201703,.,30.6526,1
1589,201703,104.112,2.9128,1
1590,201703,257.405,16.1474,1
1597,201703,23.3998,7.879,1
1598,201703,36.8544,1.591,1
1603,201703,22.8697,13.158,1
1604,201703,15.4283,5.1918,1
1605,201703,10.8239,17.2996,1
1608,201703,7.959,10.7096,1
1609,201703,5.66,24.4981,1
1611,201703,6.88,11.0069,1
1612,201703,8.5157,11.3256,1
1614,201703,22.5166,7.8511,1
1615,201703,8.0753,16.6662,1
1616,201703,6.2,27.2733,1
1617,201703,6.881,13.0262,1
1618,201703,7.5958,5.9108,1
1626,201703,24.457,10.8988,1
1701,201703,16.5614,4.3955,1
1702,201703,52.5254,1.3094,1
1707,201703,164.821,2.1389,1
1708,201703,21.7868,10.1319,1
1709,201703,13.8683,18.879,1
1710,201703,22.084,2.1644,1
1711,201703,18.9168,1.9854,1
1712,201703,11.7276,5.2285,1
1713,201703,13.5093,9.7314,1
1714,201703,7.93,4.4631,1
1717,201703,25.931,0.1519,1
1718,201703,7.76,-2.2244,0
1720,201703,28.0199,2.9139,1
1721,201703,14.4595,5.7049,1
1722,201703,34.4746,4.6079,1
1723,201703,105.567,-0.84,0
1725,201703,11.6382,3.9856,1
1726,201703,67.4177,0.6251,1
1727,201703,11.7341,6.4887,1
1730,201703,32.408,4.5936,1
1731,201703,11.9788,1.8244,1
1732,201703,13.57,-2.974,0
1733,201703,34.1367,-5.4482,0
1734,201703,23.9321,0.4144,1
1735,201703,11.3437,4.4533,1
1736,201703,42.6121,-3.2294,0
1737,201703,24.7719,3.5836,1
1752,201703,35.7706,0.3592,1
1760,201703,.,2.8287,1
1762,201703,25.3661,0.1849,1
1773,201703,39.7816,21.1215,1
1776,201703,17.016,6.0325,1
1783,201703,22.9187,-5.2741,0
1786,201703,47.3639,-9.9642,0
1789,201703,38.0919,12.0309,1
1795,201703,62.435,-5.5092,0
1802,201703,14.37,30.8271,1
1805,201703,6.94,76.9904,1
1806,201703,7.57,16.9519,1
1808,201703,23.0021,48.3025,1
1809,201703,11.8064,1.6394,1
1810,201703,9.27,2.8727,1
1817,201703,29.6953,3.7434,1
1903,201703,34.72,8.5626,1
1904,201703,12.3011,17.3749,1
1905,201703,9.35,19.4355,1
1906,201703,21.1442,48.8374,1
1907,201703,9.5549,19.3181,1
1909,201703,21.8428,59.9395,1
2002,201703,22.1986,2.637,1
2006,201703,18.144,11.8206,1
2007,201703,6.4431,25.4465,1
2008,201703,10.97,4.2652,1
2009,201703,9.42,42.5649,1
2010,201703,10.1487,6.8669,1
2012,201703,10.6917,3.3709,1
2013,201703,20.4461,0.2342,1
2014,201703,11.251,15.0211,1
2015,201703,38.7328,14.4747,1
2017,201703,7.91,14.5197,1
2020,201703,10.0831,2.1982,1
2022,201703,8.05,25.4131,1
2023,201703,11.28,23.5555,1
2024,201703,7.2389,14.934,1
2025,201703,3.3,35.2061,1
2027,201703,13.1311,1.4205,1
2028,201703,5.02,71.2499,1
2029,201703,33.231,12.5002,1
2030,201703,9.1963,18.182,1
2031,201703,18.7263,7.6389,1
2032,201703,9.6917,3.3819,1
2033,201703,8.4656,4.1023,1
2034,201703,20.4247,-6.0889,0
2038,201703,7.21,22.4848,1
2049,201703,150.449,28.7162,1
2059,201703,383.463,4.3167,1
2062,201703,39.8114,2.6218,1
2069,201703,20.1847,28.4749,1
2101,201703,27.0097,0.8505,1
2102,201703,15.04,13.8997,1
2103,201703,31.5806,5.5889,1
2104,201703,19.4557,3.153,1
2105,201703,55.3619,3.1251,1
2106,201703,41.6476,3.7037,1
2107,201703,14.8222,5.9378,1
2108,201703,17.2261,11.6701,1
2109,201703,13.0212,1.3823,1
2114,201703,57.755,0.0001,1
2115,201703,40.4716,1.6245,1
2201,201703,40.6602,5.4103,1
2204,201703,44.51,6.1068,1
2206,201703,17.2531,3.6231,1
2207,201703,315.418,-3.6586,0
2208,201703,27.2927,3.2611,1
2227,201703,149.12,7.6335,1
2228,201703,145.391,7.3846,1
2231,201703,171.03,3.5788,1
2233,201703,71.0991,5.4249,1
2236,201703,43.3026,-2.9309,0
2239,201703,159.319,-15.9461,0
2241,201703,.,5.5536,1
2301,201703,38.9757,7.6131,1
2302,201703,6.65,2.5,1
2303,201703,10.0378,7.0175,1
2305,201703,8.41,-5.7503,0
2308,201703,146.174,1.8807,1
2312,201703,11.0173,-0.4202,0
2313,201703,16.7456,41.1576,1
2314,201703,27.14,30.4433,1
2316,201703,23.0546,1.1236,1
2317,201703,90.568,8.0763,1
2321,201703,22.433,7.1429,1
2323,201703,5.6156,13.467,1
2324,201703,14.1238,7.3168,1
2327,201703,65.436,41.1262,1
2328,201703,23.1813,20.8923,1
2329,201703,15.8829,-8.3699,0
2330,201703,160.69,4.1324,1
2331,201703,19.24,40.0647,1
2332,201703,11.07,32.0932,1
2337,201703,14.4313,174.299,1
2338,201703,10.4432,66.0884,1
2340,201703,16.88,28.6738,1
