Year,Consumer,Government,Investment,Exports,Imports,GDP
1981,926401,294426,548324,917245,881965,1804431
1982,1004087,329929,507763,947554,851310,1938023
1983,1085739,353179,551622,1117529,938623,2169446
1984,1187727,390268,589552,1322333,1071640,2418240
1985,1258803,420605,528202,1345612,1018166,2535056
1986,1362089,442852,613239,1661598,1114330,2965448
1987,1535269,496236,791187,1859110,1336867,3344935
1988,1768771,559909,1042267,1919625,1674910,3615662
1989,2085275,671147,1027552,1959957,1711467,4032464
1990,2341481,806438,1139822,2020737,1834190,4474288
1991,2621689,909282,1301069,2309420,2123441,5018019
1992,2969752,976759,1580936,2363843,2281933,5609357
1993,3301452,1037107,1776268,2674195,2588868,6200154
1994,3714693,1074417,1895460,2897685,2802859,6779396
1995,3969095,1250017,2069690,3448460,3346200,7391062
1996,4372030,1372009,2041379,3738767,3492880,8031305
1997,4742938,1494258,2314943,4127263,3974253,8705149
1998,5116174,1603733,2567924,4418599,4340093,9366337
1999,5393982,1593739,2599622,4627041,4409881,9804503
2000,5705842,1624793,2811556,5444410,5258052,10328549
2001,5755500,1709953,2172026,5098642,4616692,10119429
2002,5952563,1755670,2238126,5666553,4982001,10630911
2003,6098448,1772076,2374960,6248779,5570234,10924029
2004,6488097,1812161,2951854,7404437,7060308,11596241
2005,6780122,1857470,2956293,7841435,7398645,12036675
2006,6942614,1876400,3106159,8993922,8346508,12572587
2007,7191198,1947925,3235197,10169267,9179670,13363917
2008,7250351,2010818,3227647,10171377,9545097,13115096
2009,7162577,2075673,2580325,8732598,7631728,12919445
2010,7481002,2121653,3527466,11197740,10267516,14060345
2011,7774972,2191998,3366687,11528993,10600449,14262201
2012,8015850,2284488,3330452,11634675,10587700,14677765
2013,8242378,2259221,3441464,11854435,10526770,15270728
2014,8602842,2360910,3668439,12559478,10933622,16258047
2015,8787564,2363711,3706196,12157096,9959487,17055080
2016,9082075,2482242,3797566,11808128,9614743,17555268
2017,9325676,2486552,3771289,12095508,9695678,17983347
2018,9610482,2623385,4085901,12191349,10136095,18375022
2019,9885165,2656205,4463678,12022294,10094817,18932525
2020,9608671,2770148,4688389,11620614,8921582,19766240
