year,%Change GDP,Change Unemployment Rate
1991,8.37,-0.16
1992,8.31,0
1993,6.81,-0.06
1994,7.5,0.11
1995,6.5,0.23
1996,6.18,0.81
1997,6.05,0.12
1998,4.2,-0.03
1999,6.73,0.23
2000,6.31,0.07
2001,-1.4,1.58
2002,5.48,0.6
2003,4.22,-0.18
2004,6.95,-0.55
2005,5.38,-0.31
2006,5.77,-0.22
2007,6.85,0
2008,0.8,0.23
2009,-1.61,1.71
2010,10.25,-0.64
2011,3.67,-0.82
2012,2.22,-0.15
2013,2.48,-0.06
2014,4.72,-0.22
2015,1.47,-0.18
2016,2.17,0.14
2017,3.31,-0.16
2018,2.79,-0.05
2019,2.96,0.02
2020,3.12,0.12
